"Time","myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"
2025-12-12 15:22:45,361 MiB
2025-12-12 15:23:00,361 MiB
2025-12-12 15:23:15,370 MiB
2025-12-12 15:23:30,373 MiB
2025-12-12 15:23:45,371 MiB
2025-12-12 15:24:00,384 MiB
2025-12-12 15:24:15,384 MiB
2025-12-12 15:24:30,387 MiB
2025-12-12 15:24:45,386 MiB
2025-12-12 15:25:00,426 MiB
2025-12-12 15:25:15,426 MiB
2025-12-12 15:25:30,426 MiB
2025-12-12 15:25:45,427 MiB
2025-12-12 15:26:00,453 MiB
2025-12-12 15:26:15,461 MiB
2025-12-12 15:26:30,461 MiB
2025-12-12 15:26:45,463 MiB
2025-12-12 15:27:00,504 MiB
2025-12-12 15:27:15,583 MiB
2025-12-12 15:27:30,583 MiB
2025-12-12 15:27:45,583 MiB
2025-12-12 15:28:00,583 MiB
2025-12-12 15:28:15,584 MiB
2025-12-12 15:28:30,583 MiB
2025-12-12 15:28:45,583 MiB
2025-12-12 15:29:00,583 MiB
2025-12-12 15:29:15,583 MiB
2025-12-12 15:29:30,583 MiB
2025-12-12 15:29:45,584 MiB
2025-12-12 15:30:00,584 MiB
2025-12-12 15:30:15,584 MiB
2025-12-12 15:30:30,584 MiB
2025-12-12 15:30:45,584 MiB
2025-12-12 15:31:00,584 MiB
2025-12-12 15:31:15,584 MiB
2025-12-12 15:31:30,584 MiB
2025-12-12 15:31:45,583 MiB
2025-12-12 15:32:00,583 MiB
2025-12-12 15:32:15,583 MiB
2025-12-12 15:32:30,583 MiB
2025-12-12 15:32:45,583 MiB