"Time","myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"
2025-12-12 15:57:15,0.00541
2025-12-12 15:57:30,0.00363
2025-12-12 15:57:45,0.00975
2025-12-12 15:58:00,0.0533
2025-12-12 15:58:15,0.148
2025-12-12 15:58:30,0.231
2025-12-12 15:58:45,0.331
2025-12-12 15:59:00,0.392
2025-12-12 15:59:15,0.401
2025-12-12 15:59:30,0.395
2025-12-12 15:59:45,0.389
2025-12-12 16:00:00,0.384
2025-12-12 16:00:15,0.382
2025-12-12 16:00:30,0.387
2025-12-12 16:00:45,0.375
2025-12-12 16:01:00,0.356
2025-12-12 16:01:15,0.366
2025-12-12 16:01:30,0.366
2025-12-12 16:01:45,0.369
2025-12-12 16:02:00,0.369
2025-12-12 16:02:15,0.376
2025-12-12 16:02:30,0.399
2025-12-12 16:02:45,0.417
2025-12-12 16:03:00,0.410
2025-12-12 16:03:15,0.403
2025-12-12 16:03:30,0.399
2025-12-12 16:03:45,0.408
2025-12-12 16:04:00,0.411
2025-12-12 16:04:15,0.415
2025-12-12 16:04:30,0.413
2025-12-12 16:04:45,0.402
2025-12-12 16:05:00,0.378
2025-12-12 16:05:15,0.365
2025-12-12 16:05:30,0.369
2025-12-12 16:05:45,0.385
2025-12-12 16:06:00,0.375
2025-12-12 16:06:15,0.330
2025-12-12 16:06:30,0.297
2025-12-12 16:06:45,0.131
2025-12-12 16:07:00,0.0649
2025-12-12 16:07:15,0.0147