"Time","stress level"
2025-12-12 15:57:15,0.00128
2025-12-12 15:57:30,0.00153
2025-12-12 15:57:45,0.0181
2025-12-12 15:58:00,0.0389
2025-12-12 15:58:15,0.0865
2025-12-12 15:58:30,0.101
2025-12-12 15:58:45,0.121
2025-12-12 15:59:00,0.116
2025-12-12 15:59:15,0.119
2025-12-12 15:59:30,0.119
2025-12-12 15:59:45,0.106
2025-12-12 16:00:00,0.108
2025-12-12 16:00:15,0.117
2025-12-12 16:00:30,0.111
2025-12-12 16:00:45,0.105
2025-12-12 16:01:00,0.106
2025-12-12 16:01:15,0.112
2025-12-12 16:01:30,0.104
2025-12-12 16:01:45,0.111
2025-12-12 16:02:00,0.104
2025-12-12 16:02:15,0.127
2025-12-12 16:02:30,0.117
2025-12-12 16:02:45,0.118
2025-12-12 16:03:00,0.106
2025-12-12 16:03:15,0.123
2025-12-12 16:03:30,0.120
2025-12-12 16:03:45,0.118
2025-12-12 16:04:00,0.123
2025-12-12 16:04:15,0.134
2025-12-12 16:04:30,0.125
2025-12-12 16:04:45,0.106
2025-12-12 16:05:00,0.0989
2025-12-12 16:05:15,0.104
2025-12-12 16:05:30,0.108
2025-12-12 16:05:45,0.123
2025-12-12 16:06:00,0.108
2025-12-12 16:06:15,0.0753
2025-12-12 16:06:30,0.0535
2025-12-12 16:06:45,0.00444
2025-12-12 16:07:00,0.00423
2025-12-12 16:07:15,0.00402