"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.83:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:37:45,0 kb/s
2025-12-12 15:38:00,412 kb/s
2025-12-12 15:38:15,492 kb/s
2025-12-12 15:38:30,844 kb/s
2025-12-12 15:38:45,1.32 Mb/s
2025-12-12 15:39:00,1.48 Mb/s
2025-12-12 15:39:15,1.72 Mb/s
2025-12-12 15:39:30,1.84 Mb/s
2025-12-12 15:39:45,1.73 Mb/s
2025-12-12 15:40:00,1.83 Mb/s
2025-12-12 15:40:15,1.94 Mb/s
2025-12-12 15:40:30,1.71 Mb/s
2025-12-12 15:40:45,1.78 Mb/s
2025-12-12 15:41:00,1.86 Mb/s
2025-12-12 15:41:15,1.71 Mb/s
2025-12-12 15:41:30,1.83 Mb/s
2025-12-12 15:41:45,1.69 Mb/s
2025-12-12 15:42:00,1.88 Mb/s
2025-12-12 15:42:15,1.79 Mb/s
2025-12-12 15:42:30,1.56 Mb/s
2025-12-12 15:42:45,1.79 Mb/s
2025-12-12 15:43:00,1.71 Mb/s
2025-12-12 15:43:15,1.88 Mb/s
2025-12-12 15:43:30,1.75 Mb/s
2025-12-12 15:43:45,1.65 Mb/s
2025-12-12 15:44:00,1.72 Mb/s
2025-12-12 15:44:15,1.67 Mb/s
2025-12-12 15:44:30,1.71 Mb/s
2025-12-12 15:44:45,1.66 Mb/s
2025-12-12 15:45:00,1.75 Mb/s
2025-12-12 15:45:15,1.98 Mb/s
2025-12-12 15:45:30,1.68 Mb/s
2025-12-12 15:45:45,1.74 Mb/s
2025-12-12 15:46:00,1.89 Mb/s
2025-12-12 15:46:15,1.53 Mb/s
2025-12-12 15:46:30,1.25 Mb/s
2025-12-12 15:46:45,677 kb/s
2025-12-12 15:47:00,314 kb/s
2025-12-12 15:47:15,0 kb/s
2025-12-12 15:47:30,0 kb/s
2025-12-12 15:47:45,0 kb/s
2025-12-12 15:48:00,0 kb/s