"Time","Value"
2025-12-12 12:52:00,590 MiB
2025-12-12 12:52:15,590 MiB
2025-12-12 12:52:30,590 MiB
2025-12-12 12:52:45,590 MiB
2025-12-12 12:53:00,645 MiB
2025-12-12 12:53:15,645 MiB
2025-12-12 12:53:30,621 MiB
2025-12-12 12:53:45,621 MiB
2025-12-12 12:54:00,621 MiB
2025-12-12 12:54:15,623 MiB
2025-12-12 12:54:30,623 MiB
2025-12-12 12:54:45,623 MiB
2025-12-12 12:55:00,623 MiB
2025-12-12 12:55:15,622 MiB
2025-12-12 12:55:30,623 MiB
2025-12-12 12:55:45,623 MiB
2025-12-12 12:56:00,623 MiB
2025-12-12 12:56:15,623 MiB
2025-12-12 12:56:30,623 MiB
2025-12-12 12:56:45,623 MiB
2025-12-12 12:57:00,623 MiB
2025-12-12 12:57:15,623 MiB
2025-12-12 12:57:30,623 MiB
2025-12-12 12:57:45,623 MiB
2025-12-12 12:58:00,623 MiB
2025-12-12 12:58:15,623 MiB
2025-12-12 12:58:30,623 MiB
2025-12-12 12:58:45,623 MiB
2025-12-12 12:59:00,623 MiB
2025-12-12 12:59:15,623 MiB
2025-12-12 12:59:30,623 MiB
2025-12-12 12:59:45,623 MiB
2025-12-12 13:00:00,623 MiB
2025-12-12 13:00:15,623 MiB
2025-12-12 13:00:30,623 MiB
2025-12-12 13:00:45,623 MiB
2025-12-12 13:01:00,623 MiB
2025-12-12 13:01:15,623 MiB
2025-12-12 13:01:30,623 MiB
2025-12-12 13:01:45,623 MiB
2025-12-12 13:02:00,623 MiB
2025-12-12 13:02:15,622 MiB
2025-12-12 13:02:30,622 MiB
2025-12-12 13:02:45,622 MiB
2025-12-12 13:03:00,622 MiB