"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.144:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-vp6w7"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 13:55:30,0 kb/s
2025-12-12 13:55:45,0 kb/s
2025-12-12 13:56:00,0 kb/s
2025-12-12 13:56:15,0 kb/s
2025-12-12 13:56:30,3.21 Mb/s
2025-12-12 13:56:45,4.89 Mb/s
2025-12-12 13:57:00,10.2 Mb/s
2025-12-12 13:57:15,9.61 Mb/s
2025-12-12 13:57:30,9.95 Mb/s
2025-12-12 13:57:45,10.4 Mb/s
2025-12-12 13:58:00,10.2 Mb/s
2025-12-12 13:58:15,10.1 Mb/s
2025-12-12 13:58:30,10.3 Mb/s
2025-12-12 13:58:45,10.1 Mb/s
2025-12-12 13:59:00,10.2 Mb/s
2025-12-12 13:59:15,10.5 Mb/s
2025-12-12 13:59:30,10.1 Mb/s
2025-12-12 13:59:45,10.1 Mb/s
2025-12-12 14:00:00,10.4 Mb/s
2025-12-12 14:00:15,10.2 Mb/s
2025-12-12 14:00:30,10.1 Mb/s
2025-12-12 14:00:45,10.1 Mb/s
2025-12-12 14:01:00,9.93 Mb/s
2025-12-12 14:01:15,10.3 Mb/s
2025-12-12 14:01:30,9.68 Mb/s
2025-12-12 14:01:45,9.75 Mb/s
2025-12-12 14:02:00,10.2 Mb/s
2025-12-12 14:02:15,9.94 Mb/s
2025-12-12 14:02:30,10.3 Mb/s
2025-12-12 14:02:45,10.3 Mb/s
2025-12-12 14:03:00,10.1 Mb/s
2025-12-12 14:03:15,9.74 Mb/s
2025-12-12 14:03:30,9.96 Mb/s
2025-12-12 14:03:45,10.5 Mb/s
2025-12-12 14:04:00,10.2 Mb/s
2025-12-12 14:04:15,10.4 Mb/s
2025-12-12 14:04:30,9.28 Mb/s
2025-12-12 14:04:45,7.81 Mb/s
2025-12-12 14:05:00,3.90 Mb/s
2025-12-12 14:05:15,2.92 Mb/s
2025-12-12 14:05:30,0 kb/s
2025-12-12 14:05:45,0 kb/s
2025-12-12 14:06:00,0 kb/s
2025-12-12 14:06:15,0 kb/s
2025-12-12 14:06:30,0 kb/s
2025-12-12 14:06:45,0 kb/s
2025-12-12 14:07:00,0 kb/s