"Time","myjitsi-jitsi-meet-jvb-5d69f565cb-vp6w7"
2025-12-12 13:55:45,0.00583
2025-12-12 13:56:00,0.00954
2025-12-12 13:56:15,0.231
2025-12-12 13:56:30,0.495
2025-12-12 13:56:45,0.668
2025-12-12 13:57:00,0.851
2025-12-12 13:57:15,0.959
2025-12-12 13:57:30,0.823
2025-12-12 13:57:45,0.949
2025-12-12 13:58:00,0.963
2025-12-12 13:58:15,0.894
2025-12-12 13:58:30,0.872
2025-12-12 13:58:45,0.841
2025-12-12 13:59:00,0.843
2025-12-12 13:59:15,0.834
2025-12-12 13:59:30,0.828
2025-12-12 13:59:45,0.817
2025-12-12 14:00:00,0.788
2025-12-12 14:00:15,0.803
2025-12-12 14:00:30,0.835
2025-12-12 14:00:45,0.831
2025-12-12 14:01:00,0.825
2025-12-12 14:01:15,0.790
2025-12-12 14:01:30,0.785
2025-12-12 14:01:45,0.793
2025-12-12 14:02:00,0.826
2025-12-12 14:02:15,0.829
2025-12-12 14:02:30,0.835
2025-12-12 14:02:45,0.833
2025-12-12 14:03:00,0.858
2025-12-12 14:03:15,0.860
2025-12-12 14:03:30,0.681
2025-12-12 14:03:45,0.816
2025-12-12 14:04:00,0.810
2025-12-12 14:04:15,0.814
2025-12-12 14:04:30,0.817
2025-12-12 14:04:45,0.781
2025-12-12 14:05:00,0.690
2025-12-12 14:05:15,0.508
2025-12-12 14:05:30,0.325
2025-12-12 14:05:45,0.151
2025-12-12 14:06:00,0.0395
2025-12-12 14:06:15,0.0416
2025-12-12 14:06:30,0.0257
2025-12-12 14:06:45,0.0149
2025-12-12 14:07:00,0.0121