"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.80:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 13:27:45,0 ms
2025-12-12 13:28:00,0 ms
2025-12-12 13:28:15,0 ms
2025-12-12 13:28:30,64.0 ms
2025-12-12 13:28:45,65.3 ms
2025-12-12 13:29:00,66.2 ms
2025-12-12 13:29:15,66.3 ms
2025-12-12 13:29:30,68.0 ms
2025-12-12 13:29:45,68.5 ms
2025-12-12 13:30:00,68.8 ms
2025-12-12 13:30:15,79.6 ms
2025-12-12 13:30:30,66.3 ms
2025-12-12 13:30:45,68.7 ms
2025-12-12 13:31:00,80.4 ms
2025-12-12 13:31:15,72.5 ms
2025-12-12 13:31:30,90.9 ms
2025-12-12 13:31:45,66.8 ms
2025-12-12 13:32:00,69.6 ms
2025-12-12 13:32:15,69.4 ms
2025-12-12 13:32:30,68.6 ms
2025-12-12 13:32:45,68.6 ms
2025-12-12 13:33:00,68.1 ms
2025-12-12 13:33:15,99.0 ms
2025-12-12 13:33:30,437 ms
2025-12-12 13:33:45,69.3 ms
2025-12-12 13:34:00,75.7 ms
2025-12-12 13:34:15,121 ms
2025-12-12 13:34:30,70.2 ms
2025-12-12 13:34:45,74.8 ms
2025-12-12 13:35:00,72.6 ms
2025-12-12 13:35:15,77.5 ms
2025-12-12 13:35:30,69.3 ms
2025-12-12 13:35:45,85.2 ms
2025-12-12 13:36:00,71.1 ms
2025-12-12 13:36:15,68.8 ms
2025-12-12 13:36:30,73.7 ms
2025-12-12 13:36:45,69.4 ms
2025-12-12 13:37:00,71.1 ms
2025-12-12 13:37:15,73.2 ms
2025-12-12 13:37:30,72.3 ms
2025-12-12 13:37:45,68.1 ms
2025-12-12 13:38:00,66.9 ms
2025-12-12 13:38:15,67.1 ms
2025-12-12 13:38:30,67.6 ms
2025-12-12 13:38:45,66.6 ms